No,ToDo,機能,成果物,進捗,見積工数(人日),実績工数(人日),詳細
1,要件ヒアリング・現状調査,要件定義,要件定義書（ヒアリング議事録・現状分析）,100%,2.0,2.0,ステークホルダーへのヒアリング・現行業務フロー調査・課題整理
2,要件定義書作成,要件定義,requirements.md（要件定義書）,100%,3.0,3.0,機能要件・非機能要件・受け入れ基準の文書化（備品管理・貸出・返却・通知・検索・ユーザー管理）
3,要件定義レビュー・承認,要件定義,レビュー議事録・承認記録,100%,1.0,1.0,ステークホルダーとのレビュー・修正・最終承認
4,システム構成・アーキテクチャ設計,基本設計,設計書（アーキテクチャ図・技術選定）,100%,2.0,2.0,Rails7モノリス・Layered Architecture（Controller/Service/Model）・技術スタック選定（Devise/Pundit/Sidekiq等）
5,データベース設計,基本設計,設計書（ER図・テーブル定義書）,100%,2.0,2.0,ER図・テーブル定義・インデックス設計・UUID主キー・論理削除設計
6,画面設計（画面一覧・画面遷移図）,基本設計,設計書（画面一覧・遷移図）,100%,2.0,2.0,全画面一覧・ロール別画面遷移図・ワイヤーフレーム
7,APIルーティング・コントローラー設計,基本設計,設計書（ルーティング定義・コントローラー責務）,100%,1.0,1.0,RESTfulルーティング設計・Namespace（Admin）・コントローラー責務定義
8,クラス・サービス層詳細設計,詳細設計,設計書（クラス図・サービス仕様）,100%,2.0,2.0,Service層（Equipment/Loan/Return/Inventory/Search/User/Notification）・Policy層・Mailer・Jobのクラス設計
9,主要フローシーケンス図作成,詳細設計,設計書（シーケンス図）,100%,1.5,1.5,貸出申請・承認・返却・延滞チェック・在庫不足通知の処理シーケンス
10,セキュリティ設計,詳細設計,設計書（セキュリティ方針）,100%,1.0,1.0,認証（Devise）・認可（Pundit）設計・SQLインジェクション・XSS・CSRF対策方針
11,開発環境構築,環境構築,Docker設定・開発環境,100%,1.0,1.0,Docker/Docker Compose設定。Ruby/Rails/PostgreSQL/Redis環境のコンテナ構築
12,ステージング環境構築,環境構築,ステージング環境,0%,1.5,,ステージングサーバー設定・DB・Redis・Sidekiq構成・環境変数設定
13,本番環境構築,環境構築,本番環境,0%,2.0,,本番サーバー・DB・Redis・Sidekiq・SMTPサーバー設定・SSL証明書設定
14,CI/CD設定,環境構築,CI/CDパイプライン,0%,2.0,,GitHub Actions等でRSpecテスト自動実行・Linter・本番/ステージングへの自動デプロイ設定
15,Railsプロジェクトの初期構成とGem設定,プロジェクト基盤,Gemfile・アプリ基本設定,100%,1.0,1.0,Devise・Pundit・Sidekiq・Whenever・Tailwind CSS・discardなどのGem追加。Hotwire（Turbo/Stimulus）有効化。RSpec・FactoryBot・Capybara設定
16,データベース接続とPostgreSQL設定,プロジェクト基盤,database.yml・DB環境,100%,0.5,0.5,PostgreSQL接続設定。UUID主キーをデフォルトとして設定。開発・テスト環境のDB作成
17,Deviseによる認証機能のセットアップ,ユーザー認証,Userモデル・ログイン画面,100%,1.5,1.5,ログイン・ログアウト画面。管理者/一般ユーザーのrole属性追加。未認証ユーザーをログイン画面へリダイレクト
18,パスワード変更機能の実装,ユーザー認証,パスワード変更画面,100%,1.0,1.0,現在のパスワード確認後に新しいパスワードを設定。最低8文字のバリデーション
19,カテゴリモデルの作成,データモデル,Categoryモデル・マイグレーション,100%,0.5,0.5,カテゴリ名を必須かつユニークとするバリデーション
20,備品モデルの作成,データモデル,Equipmentモデル・マイグレーション,100%,1.0,1.0,enum（available/in_use/repair/disposed）・論理削除（deleted_at）・インデックス設定
21,貸出モデルの作成,データモデル,Loanモデル・マイグレーション,100%,1.0,1.0,enum（pending_approval/active/returned/overdue）・外部キー・インデックス設定
22,備品の登録・編集・削除ロジックの実装,備品管理,EquipmentService,100%,2.0,2.0,管理番号重複チェック・論理削除・貸出中ブロック・更新日時自動記録
23,備品管理画面の実装,備品管理,備品一覧・詳細・登録・編集画面,100%,2.0,2.0,Turbo Streamsエラー表示・削除確認ダイアログ
24,備品操作の認可ポリシー実装,備品管理,EquipmentPolicy,100%,1.0,1.0,登録・編集・削除を管理者のみに制限。権限不足エラー表示
25,貸出申請ロジックの実装,貸出管理,LoanService,100%,2.5,2.5,排他ロックによる在庫確認・承認フロー（承認待ち→貸出中）・返却予定日バリデーション
26,貸出申請・一覧画面の実装,貸出管理,貸出申請・一覧画面,100%,2.0,2.0,申請フォーム・管理者向け全貸出一覧・一般ユーザー向け自分の貸出一覧・承認UI
27,貸出操作の認可ポリシー実装,貸出管理,LoanPolicy,100%,1.0,1.0,申請は認証済み全ユーザー。承認・他ユーザーレコード操作は管理者のみ
28,返却処理ロジックの実装,返却管理,ReturnService,100%,1.5,1.5,トランザクション内でステータス更新・実返却日記録・貸出可能数+1
29,返却操作UIの実装,返却管理,返却ボタン・フロー,100%,1.0,1.0,貸出一覧から返却手続きを実行。完了後フラッシュ表示・リダイレクト
